study_id,id,title,authors,year,doi,arxiv_id,source_db,journal,url
S087,P02_0757,FedSoup: Improving Generalization and Personalization in Federated Learning via Selective Model Interpolation,Minghui Chen; Meirui Jiang; Qi Dou; Zehua Wang; Xiaoxiao Li,2023,,2307.10507v1,arXiv:broad,,http://arxiv.org/abs/2307.10507v1
S088,P02_0768,Neural Language of Thought Models,Yi-Fu Wu; Minseung Lee; Sungjin Ahn,2024,,2402.01203v2,arXiv:broad,,http://arxiv.org/abs/2402.01203v2
S089,P02_0769,GA-Field: Geometry-Aware Vehicle Aerodynamic Field Prediction,Zhenhua Zheng; Lu Zhang; Junhong Zou; Shitong Liu; Zhen Lei; Xiangyu Zhu; Zhiyong Liu,2026,,2602.20609v1,arXiv:broad,,http://arxiv.org/abs/2602.20609v1
S090,P02_0773,Robust OOD Graph Learning via Mean Constraints and Noise Reduction,Yang Zhou; Xiaoning Ren,2025,,2506.19281v1,arXiv:broad,,http://arxiv.org/abs/2506.19281v1
S091,P02_0783,Improving Latent Generalization Using Test-time Compute,Arslan Chaudhry; Sridhar Thiagarajan; Andrew Lampinen,2026,,2604.01430v1,arXiv:broad,,http://arxiv.org/abs/2604.01430v1
S092,P02_0789,Frequency Bias and OOD Generalization in Neural Operators under a Variable-Coefficient Wave Equation,Runlong Xie; An Luo,2026,,2605.12997v1,arXiv:broad,,http://arxiv.org/abs/2605.12997v1
S093,P02_0791,SynthDocBench: Controlled Benchmark for Long-Context Visual Document Understanding,Abhigya Verma; Khyati Mahajan; Amit Kumar Saha; Shruthan Radhakrishna; Sagar Davasam; Vikas Yadav; Sai Rajeswar Mudumba,2026,,2607.10400v1,arXiv:broad,,http://arxiv.org/abs/2607.10400v1
S094,P02_0795,TerraIncognita: A Dynamic Benchmark for Species Discovery Using Frontier Models,Shivani Chiranjeevi; Hossein Zaremehrjerdi; Zi K. Deng; Talukder Z. Jubery; Ari Grele; Arti Singh; Asheesh K Singh; Soumik Sarkar; Nirav Merchant; Harold F. Greeney; Baskar Ganapathysubramanian; Chinmay Hegde,2025,,2506.03182v1,arXiv:broad,,http://arxiv.org/abs/2506.03182v1
S095,P02_0797,Predictable GRPO: A Closed-Form Model of Training Dynamics,Rajat Ghosh; Datta Nimmaturi; Aryan Singhal; Vaishnavi Bhargava; Henry Wong; Johnu George; Debojyoti Dutta,2026,,2606.30789v2,arXiv:broad,,http://arxiv.org/abs/2606.30789v2
S096,P02_0798,Can Large Reasoning Models do Analogical Reasoning under Perceptual Uncertainty?,Giacomo Camposampiero; Michael Hersche; Roger Wattenhofer; Abu Sebastian; Abbas Rahimi,2025,,2503.11207v2,arXiv:broad,,http://arxiv.org/abs/2503.11207v2
S097,P02_0810,Compositional Generalization via Semantic Tagging,Hao Zheng; Mirella Lapata,2020,,2010.11818v2,arXiv:primary,,http://arxiv.org/abs/2010.11818v2
S098,P02_0811,Systematic Generalization with Edge Transformers,Leon Bergen; Timothy J. O'Donnell; Dzmitry Bahdanau,2021,,2112.00578v1,arXiv:primary,,http://arxiv.org/abs/2112.00578v1
S099,P02_0812,Compositional Generalization from First Principles,Thaddäus Wiedemer; Prasanna Mayilvahanan; Matthias Bethge; Wieland Brendel,2023,,2307.05596v1,arXiv:primary,,http://arxiv.org/abs/2307.05596v1
S100,P02_0813,Improving Compositional Generalization in Semantic Parsing,Inbar Oren; Jonathan Herzig; Nitish Gupta; Matt Gardner; Jonathan Berant,2020,,2010.05647v1,arXiv:primary,,http://arxiv.org/abs/2010.05647v1
S101,P02_0814,A Survey on Compositional Generalization in Applications,Baihan Lin; Djallel Bouneffouf; Irina Rish,2023,,2302.01067v1,arXiv:primary,,http://arxiv.org/abs/2302.01067v1
S102,P02_0815,Composition-Incremental Learning for Compositional Generalization,Zhen Li; Yuwei Wu; Chenchen Jing; Che Sun; Chuanhao Li; Yunde Jia,2025,,2511.09082v1,arXiv:primary,,http://arxiv.org/abs/2511.09082v1
S103,P02_0816,Toward Compositional Generalization in Object-Oriented World Modeling,Linfeng Zhao; Lingzhi Kong; Robin Walters; Lawson L. S. Wong,2022,,2204.13661v2,arXiv:primary,,http://arxiv.org/abs/2204.13661v2
S104,P02_0817,On Evaluating Multilingual Compositional Generalization with Translated Datasets,Zi Wang; Daniel Hershcovich,2023,,2306.11420v1,arXiv:primary,,http://arxiv.org/abs/2306.11420v1
S105,P02_0818,Learning Algebraic Recombination for Compositional Generalization,Chenyao Liu; Shengnan An; Zeqi Lin; Qian Liu; Bei Chen; Jian-Guang Lou; Lijie Wen; Nanning Zheng; Dongmei Zhang,2021,,2107.06516v1,arXiv:primary,,http://arxiv.org/abs/2107.06516v1
