study_id,id,title,year,overall,peer_reviewed,code_available,n_seeds_value,task_primary,benchmark_family,arch_family,model_scale_category,train_regime_sigma,baseline_regime,id_acc_mean,ood_acc_mean,id_acc_sd,ood_acc_sd,id_ood_gap,lor,cohens_d,gap_se,outlier,interventional,schema_coherence_measured,repr_analysis,relevance_sigma_trap,relevance_alignment,S0,S1_not_high,S2_low_only,S3_peer_reviewed,S4_code,S5_seeds_ge3
S199,P02_0863,Can LLM find the green circle? Investigation and Human-guided tool manipulation for compositional generalization,2023,HIGH,FALSE,FALSE,,custom,custom,transformer,unspecified,not_applicable,,,0.979,,,,,,,False,False,FALSE,none,4,2,True,False,False,False,False,False
S200,P02_0864,Multi-Sourced Compositional Generalization in Visual Question Answering,2025,HIGH,FALSE,TRUE,,custom,custom,other,unspecified,not_applicable,,0.717,,,,,,,,False,False,FALSE,none,4,1,True,False,False,False,True,False
S201,P02_0865,Analyzing the Inner Workings of Transformers in Compositional Generalization,2025,HIGH,FALSE,TRUE,,custom,custom,transformer,small,not_applicable,other,,,,,,,,,False,False,FALSE,other,4,2,True,False,False,False,True,False
S202,P02_0866,Improving Systematic Generalization Through Modularity and Augmentation,2022,HIGH,FALSE,,5,gSCAN,gSCAN,other,unspecified,not_applicable,,0.9634,0.8004,0.0028,0.0606,0.163,0.8084283385040048,3.7998538380844145,0.0271301,False,False,FALSE,none,4,1,True,False,False,False,False,True
S203,P02_0867,NeSyCoCo: A Neuro-Symbolic Concept Composer for Compositional Generalization,2024,UNCLEAR,TRUE,TRUE,3,custom,custom,neurosymbolic,unspecified,not_applicable,,0.997,0.921,0.0002,0.0026,0.076,0.0,41.21678698554465,0.00150555,False,False,TRUE,other,4,2,True,True,False,True,True,True
S204,P02_0868,Compositional Generalization via Forced Rendering of Disentangled Latents,2025,HIGH,TRUE,FALSE,,custom,custom,mlp,unspecified,not_applicable,,,,,,,,,,False,False,TRUE,other,4,1,True,False,False,True,False,False
S205,P02_0869,ChatGPT as Data Augmentation for Compositional Generalization: A Case Study in Open Intent Detection,2023,HIGH,FALSE,FALSE,10,custom,custom,transformer,unspecified,,standard_Adam,,,,,,,,,False,False,FALSE,none,3,1,True,False,False,False,False,True
S206,P02_0870,The Impact of Depth on Compositional Generalization in Transformer Language Models,2023,HIGH,FALSE,FALSE,1,COGS,COGS,transformer,medium,not_applicable,,,,,,,,,,False,False,FALSE,other,4,1,True,False,False,False,False,False
S207,P02_0871,Compositional Generalization Across Distributional Shifts with Sparse Tree Operations,2024,HIGH,TRUE,FALSE,5,SCAN,SCAN,neurosymbolic,small,not_applicable,standard_Adam,0.8,0.02,0.39,0.01,0.78,3.5835189384561104,2.8274977910182137,0.174471,False,False,FALSE,none,4,1,True,False,False,True,False,True
S208,P02_0872,Compositional generalization through abstract representations in human and artificial neural networks,2022,HIGH,FALSE,FALSE,,custom,custom,mlp,unspecified,not_applicable,,0.9437,0.2879,,,0.6558,3.724718937251591,,0.050807863564609757,False,False,TRUE,other,4,2,True,False,False,False,False,False
S209,P02_0873,Systematic Generalization in Language Models Scales with Information Entropy,2025,HIGH,FALSE,,5,SCAN,SCAN,transformer,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,none,4,1,True,False,False,False,False,True
S210,P02_0874,How Modular Should Neural Module Networks Be for Systematic Generalization?,2021,HIGH,TRUE,,5,custom,custom,neurosymbolic,unspecified,not_applicable,,0.944,0.773,0.003,0.013,0.171,0.9718955462302001,18.12596374810875,0.00596657,False,False,FALSE,none,4,1,True,False,False,True,False,True
S211,P02_0875,Pretraining Frequency Predicts Compositional Generalization of CLIP on Real-World Tasks,2025,HIGH,TRUE,,,custom,custom,vit,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,none,4,1,True,False,False,True,False,False
