id,title,year,doi,arxiv_id,url,decision,status,attempts,pdf_path
P02_0769,GA-Field: Geometry-Aware Vehicle Aerodynamic Field Prediction,2026,,2602.20609v1,http://arxiv.org/abs/2602.20609v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0769_Zheng_2026.pdf
P02_0773,Robust OOD Graph Learning via Mean Constraints and Noise Reduction,2025,,2506.19281v1,http://arxiv.org/abs/2506.19281v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0773_Zhou_2025.pdf
P02_0783,Improving Latent Generalization Using Test-time Compute,2026,,2604.01430v1,http://arxiv.org/abs/2604.01430v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0783_Chaudhry_2026.pdf
P02_0789,Frequency Bias and OOD Generalization in Neural Operators under a Variable-Coefficient Wave Equation,2026,,2605.12997v1,http://arxiv.org/abs/2605.12997v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0789_Xie_2026.pdf
P02_0791,SynthDocBench: Controlled Benchmark for Long-Context Visual Document Understanding,2026,,2607.10400v1,http://arxiv.org/abs/2607.10400v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0791_Verma_2026.pdf
P02_0810,Compositional Generalization via Semantic Tagging,2020,,2010.11818v2,http://arxiv.org/abs/2010.11818v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0810_Zheng_2020.pdf
P02_0811,Systematic Generalization with Edge Transformers,2021,,2112.00578v1,http://arxiv.org/abs/2112.00578v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0811_Bergen_2021.pdf
P02_0812,Compositional Generalization from First Principles,2023,,2307.05596v1,http://arxiv.org/abs/2307.05596v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0812_Wiedemer_2023.pdf
P02_0813,Improving Compositional Generalization in Semantic Parsing,2020,,2010.05647v1,http://arxiv.org/abs/2010.05647v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0813_Oren_2020.pdf
P02_0819,Scalable Evaluation and Neural Models for Compositional Generalization,2025,,2511.02667v2,http://arxiv.org/abs/2511.02667v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0819_Camposampiero_2025.pdf
P02_0821,Improving Compositional Generalization in Classification Tasks via Structure Annotations,2021,,2106.10434v1,http://arxiv.org/abs/2106.10434v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0821_Kim_2021.pdf
P02_0822,Compositional Generalization with Tree Stack Memory Units,2019,,1911.01545v5,http://arxiv.org/abs/1911.01545v5,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0822_Arabshahi_2019.pdf
P02_0823,Reinforcement Learning for Compositional Generalization with Outcome-Level Optimization,2026,,2605.04920v1,http://arxiv.org/abs/2605.04920v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0823_Fu_2026.pdf
P02_0824,Provable Compositional Generalization for Object-Centric Learning,2023,,2310.05327v2,http://arxiv.org/abs/2310.05327v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0824_Wiedemer_2023.pdf
P02_0826,Disentangled Sequence to Sequence Learning for Compositional Generalization,2021,,2110.04655v2,http://arxiv.org/abs/2110.04655v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0826_Zheng_2021.pdf
P02_0827,"Concepts, Properties and an Approach for Compositional Generalization",2021,,2102.04225v1,http://arxiv.org/abs/2102.04225v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0827_Li_2021.pdf
